z_why,c_id,c_h,c_r_,c_r,lesson_topic,c_revision,z_what,e,_split
elaborate_answer,2949335_49,"[{'id': 49, 'text': 'Here comes the next question.', 'time': '23:01', 'user': 'tutor'}
 {'id': 50, 'text': 'Give your best with this question.', 'time': '23:12', 'user': 'tutor'}
 {'id': 51, 'text': 'Is that number is visible now?', 'time': '23:58', 'user': 'tutor'}
 {'id': 52, 'text': 'eight thousand', 'time': '24:34', 'user': 'student'}]","[{'is_revised': True, 'text': 'Can you show on the whiteboard your first step to get that answer?', 'user': 'tutor'}]","[{'id': 53, 'text': 'That was a good try.', 'time': '24:56', 'user': 'tutor'}
 {'id': 54, 'text': 'Please recheck with that answer.', 'time': '25:05', 'user': 'tutor'}]",4.2A.Place Value (Review) - 1,"[{'is_revised': True, 'text': 'Can you show on the whiteboard your first step to get that answer?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'sure', 'user': 'student'}
 {'is_revised': True, 'text': 'That looks good, can you show your second step now?', 'user': 'tutor'}]",ask_question,diagnose,train
End of lesson,6163970_92,"[{'id': 92, 'text': 'Plus 3 for this.', 'time': '58:25', 'user': 'tutor'}
 {'id': 93, 'text': 'You have completed and mastered the lesson ""Prime and Composite Numbers"" and earned 22 points.', 'time': '58:52', 'user': 'tutor'}
 {'id': 94, 'text': 'Before we end the session, is there anything else I can help you with?', 'time': '59:04', 'user': 'tutor'}
 {'id': 95, 'text': 'no', 'time': '59:19', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ok, see you next time!', 'user': 'tutor'}]","[{'id': 96, 'text': 'Thank you for your efforts today! Please fill in the feedback form as you leave. See you next time ', 'time': '59:41', 'user': 'tutor'}]",4.1G.Prime and Composite Numbers,"[{'is_revised': True, 'text': 'Ok, see you next time!', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Bye', 'user': 'student'}
 {'is_revised': True, 'text': 'Bye', 'user': 'tutor'}]",Said goodbye to the student,The student did not make a mistake.,train
understand_topic,6165902_95,"[{'id': 95, 'text': 'Which answer choice is between 9 and 15?', 'time': '38:49', 'user': 'tutor'}
 {'id': 96, 'text': '7', 'time': '39:42', 'user': 'student'}
 {'id': 97, 'text': 'Is that your final answer?', 'time': '40:09', 'user': 'tutor'}
 {'id': 98, 'text': 'yes', 'time': '40:18', 'user': 'student'}]","[{'is_revised': True, 'text': ""Let's look at a similar problem. Is 10 between 15 and 18? "", 'user': 'tutor'}]","[{'id': 99, 'text': 'Please recheck your answer once.', 'time': '40:27', 'user': 'tutor'}]",3.5B.Two-Step Word Problems (Review) - 1,"[{'is_revised': True, 'text': ""Let's look at a similar problem. Is 10 between 15 and 18? "", 'user': 'tutor'}
 {'is_revised': True, 'text': 'yes', 'user': 'student'}
 {'is_revised': True, 'text': ""Let's draw a number line on the whiteboard"", 'user': 'tutor'}]",provide_example,guess,train
correct_mistake,2963999_25,"[{'id': 25, 'text': 'A triangular bookend has a base of 5 inches and a height of 9 inches.', 'time': '15:21', 'user': 'tutor'}
 {'id': 26, 'text': 'We need to find the area of the bookend.', 'time': '16:23', 'user': 'tutor'}
 {'id': 27, 'text': 'What is the formula to find the area of a triangle?', 'time': '16:42', 'user': 'tutor'}
 {'id': 28, 'text': '9x5 I think', 'time': '17:08', 'user': 'student'}]","[{'is_revised': True, 'text': ""Ah, you're very close!"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'To get the area of a triangle, we need to do base x height x 1/2', 'user': 'tutor'}
 {'is_revised': True, 'text': ""Don't forget the x 1/2 at the end!"", 'user': 'tutor'}]","[{'id': 29, 'text': 'That was a good try.', 'time': '17:17', 'user': 'tutor'}
 {'id': 30, 'text': 'Plus one point for your effort.', 'time': '17:23', 'user': 'tutor'}
 {'id': 31, 'text': 'Let me explain it to you.', 'time': '18:05', 'user': 'tutor'}
 {'id': 32, 'text': 'The formula to find the are of a triangle is 1/2 * base * height.', 'time': '18:29', 'user': 'tutor'}
 {'id': 33, 'text': 'Sorry for the typo.', 'time': '18:49', 'user': 'tutor'}
 {'id': 34, 'text': '*The formula to find the area of a triangle is 1/2 * base * height.', 'time': '18:56', 'user': 'tutor'}]",6.8B.Areas of Triangles,"[{'is_revised': True, 'text': ""Ah, you're very close!"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'To get the area of a triangle, we need to do base x height x 1/2', 'user': 'tutor'}
 {'is_revised': True, 'text': ""Don't forget the x 1/2 at the end!"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'Oh yeah, so it would be 9x5x1/2', 'user': 'student'}
 {'is_revised': True, 'text': 'Yes, well done!', 'user': 'tutor'}]",explain_concept,right-idea,train
understand_topic,4014411_6,"[{'id': 6, 'text': 'Try to answer my question.', 'time': '10:48', 'user': 'tutor'}
 {'id': 7, 'text': 'Okay, let me explain it to you.', 'time': '11:10', 'user': 'tutor'}
 {'id': 8, 'text': 'What is the value of 5 times 2?', 'time': '11:58', 'user': 'tutor'}
 {'id': 9, 'text': '5', 'time': '12:09', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try! 5 times 1 is 5. What about 5 times 2?', 'user': 'tutor'}]","[{'id': 10, 'text': 'That was a great try.', 'time': '12:25', 'user': 'tutor'}
 {'id': 11, 'text': 'You have earned one point for your great try.', 'time': '12:35', 'user': 'tutor'}]",4.3E.Dividing Using Equations,"[{'is_revised': True, 'text': 'Great try! 5 times 1 is 5. What about 5 times 2?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'twice. so 10', 'user': 'student'}
 {'is_revised': True, 'text': 'Correct!', 'user': 'tutor'}]",provide_similar_problem,guess,train
correct_mistake,2898666_60,"[{'id': 60, 'text': 'Notice that the exponent is 5 and there are 5 tens being multiplied.', 'time': '19:52', 'user': 'tutor'}
 {'id': 61, 'text': 'So, we need to evaluate the value of the number.', 'time': '20:57', 'user': 'tutor'}
 {'id': 62, 'text': 'What is the value of 10 x 10 x 10 x 10 x 10?', 'time': '21:51', 'user': 'tutor'}
 {'id': 63, 'text': '210', 'time': '22:03', 'user': 'student'}]","[{'is_revised': True, 'text': ""Let's recheck that answer using our calculator. I would like for you to put this problem in your calculator. What is your answer?"", 'user': 'tutor'}]","[{'id': 64, 'text': 'That was a good try!', 'time': '22:53', 'user': 'tutor'}
 {'id': 65, 'text': 'Therefore, the value of 10 x 10 x 10 x 10 x 10 is 100,000.', 'time': '23:10', 'user': 'tutor'}]",5.2A.Place Value,"[{'is_revised': True, 'text': ""Let's recheck that answer using our calculator. I would like for you to put this problem in your calculator. What is your answer?"", 'user': 'tutor'}
 {'is_revised': True, 'text': '100000', 'user': 'student'}
 {'is_revised': True, 'text': ""Correct! We can use a shortcut as well. There are 5 0's so your answer is 1 with 5 zeros behind. 100000. "", 'user': 'tutor'}]",provide_strategy,guess,train
hint_mistake,2963623_41,"[{'id': 41, 'text': 'Please have a look at the steps on the board.', 'time': '23:24', 'user': 'tutor'}
 {'id': 42, 'text': 'okay', 'time': '23:37', 'user': 'student'}
 {'id': 43, 'text': 'What is the value of 4 times 4?', 'time': '24:09', 'user': 'tutor'}
 {'id': 44, 'text': '12', 'time': '24:19', 'user': 'student'}]","[{'is_revised': True, 'text': 'So close! 4x3 is 12. So what would 4x4 be?', 'user': 'tutor'}]","[{'id': 45, 'text': 'That was a good try.', 'time': '24:27', 'user': 'tutor'}
 {'id': 46, 'text': 'Plus 1 point for your effort!', 'time': '24:39', 'user': 'tutor'}]",3.1G.Shapes and Area,"[{'is_revised': True, 'text': 'So close! 4x3 is 12. So what would 4x4 be?', 'user': 'tutor'}
 {'is_revised': True, 'text': ""oh oops my b it's 16"", 'user': 'student'}
 {'is_revised': True, 'text': 'Correct! Make sure you don\'t go so fast and make mistakes. Think of this error as a ""slow-down"" opportunity.', 'user': 'tutor'}]",provide_similar_problem,careless,train
support_thinking,6136458_53,"[{'id': 53, 'text': 'path', 'time': '16:47', 'user': 'student'}
 {'id': 54, 'text': 'It would be described as a curve.', 'time': '17:17', 'user': 'tutor'}
 {'id': 55, 'text': 'What would we call the path if it started at one end, but then continued on into space forever?', 'time': '17:52', 'user': 'tutor'}
 {'id': 56, 'text': 'curve', 'time': '18:32', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ah, not quite. Here, take a look at this chart : https://www.onlinemathlearning.com/image-files/lines-line-segments.png', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Let me know if you see something there that fits the definition', 'user': 'tutor'}]","[{'id': 57, 'text': 'Your answer is incorrect.', 'time': '19:02', 'user': 'tutor'}
 {'id': 58, 'text': 'That would be called a ray because rays have one endpoint and then go on into space forever.', 'time': '19:44', 'user': 'tutor'}]",4.5A.Geometric Lines,"[{'is_revised': True, 'text': 'Ah, not quite. Here, take a look at this chart : https://www.onlinemathlearning.com/image-files/lines-line-segments.png', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Let me know if you see something there that fits the definition', 'user': 'tutor'}
 {'is_revised': True, 'text': 'ray', 'user': 'student'}
 {'is_revised': True, 'text': 'Yes, a ray!', 'user': 'tutor'}]",Provided a visual aid.,guess,train
hint_mistake,4056213_24,"[{'id': 24, 'text': ""We will start in the one's place and add 6 and 9."", 'time': '08:27', 'user': 'tutor'}
 {'id': 25, 'text': 'kk', 'time': '08:34', 'user': 'student'}
 {'id': 26, 'text': 'What is the value of 6+9?', 'time': '08:41', 'user': 'tutor'}
 {'id': 27, 'text': '13', 'time': '09:02', 'user': 'student'}]","[{'is_revised': True, 'text': 'Can you double check your work? Count up 6 from 9', 'user': 'tutor'}]","[{'id': 28, 'text': 'Sorry, your answer is incorrect.', 'time': '09:21', 'user': 'tutor'}
 {'id': 29, 'text': 'Please recheck your answer.', 'time': '09:34', 'user': 'tutor'}]",4.4A.Adding Multi-Digit Numbers,"[{'is_revised': True, 'text': 'Can you double check your work? Count up 6 from 9', 'user': 'tutor'}
 {'is_revised': True, 'text': ""oh it's 15"", 'user': 'student'}
 {'is_revised': True, 'text': ""Correct! Let's try the next step"", 'user': 'tutor'}]",ask_question,right-idea,train
understand_topic,2850525_35,"[{'id': 35, 'text': 'yes', 'time': '19:46', 'user': 'student'}
 {'id': 36, 'text': 'Okay!', 'time': '19:55', 'user': 'tutor'}
 {'id': 37, 'text': 'What should he measure?', 'time': '20:22', 'user': 'tutor'}
 {'id': 38, 'text': 'the dimensional area', 'time': '21:36', 'user': 'student'}]","[{'is_revised': True, 'text': 'Correct! Do you remember how to do that?', 'user': 'tutor'}]","[{'id': 39, 'text': 'That was a good try.', 'time': '21:44', 'user': 'tutor'}
 {'id': 40, 'text': 'Plus 1 point for you.', 'time': '21:51', 'user': 'tutor'}
 {'id': 41, 'text': 'So, he will measure the area of his garden.', 'time': '22:21', 'user': 'tutor'}
 {'id': 42, 'text': 'Therefore, the final answer is the area.', 'time': '22:30', 'user': 'tutor'}
 {'id': 43, 'text': 'Do you understand what I did on the board?', 'time': '22:36', 'user': 'tutor'}]",3.6C.Concept of Area,"[{'is_revised': True, 'text': 'Correct! Do you remember how to do that?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'no', 'user': 'student'}
 {'is_revised': True, 'text': 'You multiply the length by the width', 'user': 'tutor'}]",ask_question,imprecise,train
correct_mistake,4233340_58,"[{'id': 58, 'text': 'no thank you', 'time': '24:29', 'user': 'student'}
 {'id': 59, 'text': 'Okay, [STUDENT].', 'time': '24:42', 'user': 'tutor'}
 {'id': 60, 'text': 'How many seconds are in one minute?', 'time': '24:48', 'user': 'tutor'}
 {'id': 61, 'text': '50 seconds', 'time': '25:43', 'user': 'student'}]","[{'is_revised': True, 'text': 'great try!', 'user': 'tutor'}
 {'is_revised': True, 'text': 'there are 60 seconds in a minute', 'user': 'tutor'}]","[{'id': 62, 'text': 'You have earned a point for your effort!', 'time': '26:23', 'user': 'tutor'}]",4.9A.Converting Units of Measure,"[{'is_revised': True, 'text': 'great try!', 'user': 'tutor'}
 {'is_revised': True, 'text': 'there are 60 seconds in a minute', 'user': 'tutor'}
 {'is_revised': True, 'text': 'oh yeah', 'user': 'student'}
 {'is_revised': True, 'text': 'Great', 'user': 'tutor'}]",explain_concept,guess,train
diagnose_mistake,6166030_45,"[{'id': 45, 'text': 'ok', 'time': '15:46', 'user': 'student'}
 {'id': 46, 'text': 'The length is 7 units.', 'time': '15:50', 'user': 'tutor'}
 {'id': 47, 'text': 'What is the volume formula?', 'time': '16:11', 'user': 'tutor'}
 {'id': 48, 'text': 'the volume is 14', 'time': '16:48', 'user': 'student'}]","[{'is_revised': True, 'text': 'Hm, not quite. Could you tell me how you got 14?', 'user': 'tutor'}]","[{'id': 49, 'text': 'Your answer is incorrect.', 'time': '17:05', 'user': 'tutor'}
 {'id': 50, 'text': 'The volume is 70 cubic units.', 'time': '18:10', 'user': 'tutor'}
 {'id': 51, 'text': 'Does the step make sense?', 'time': '18:27', 'user': 'tutor'}]",5.6B.Using the Volume Formula,"[{'is_revised': True, 'text': 'Hm, not quite. Could you tell me how you got 14?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'I multiplied the length and width', 'user': 'student'}
 {'is_revised': True, 'text': ""You're close! We also need to multiply the height to find volume"", 'user': 'tutor'}]",ask_question,right-idea,train
understand_topic,2989417_116,"[{'id': 116, 'text': 'Is that picture visible to you?', 'time': '31:42', 'user': 'tutor'}
 {'id': 117, 'text': '16.00', 'time': '32:05', 'user': 'student'}
 {'id': 118, 'text': 'Is that your final answer,16.00?', 'time': '32:32', 'user': 'tutor'}
 {'id': 119, 'text': 'uhh yes', 'time': '32:43', 'user': 'student'}]","[{'is_revised': True, 'text': 'If w < 16, what number could w be? There are several answers, you only need to provide one example.', 'user': 'tutor'}]","[{'id': 120, 'text': ""I'm sorry, your answer is incorrect."", 'time': '32:54', 'user': 'tutor'}
 {'id': 121, 'text': 'That was a good try.', 'time': '32:58', 'user': 'tutor'}
 {'id': 122, 'text': 'You have earned a point for your good try.', 'time': '33:09', 'user': 'tutor'}
 {'id': 123, 'text': 'Look at the equation once, w < 16.', 'time': '33:25', 'user': 'tutor'}]",4.2A.Comparing Decimals,"[{'is_revised': True, 'text': 'If w < 16, what number could w be? There are several answers, you only need to provide one example.', 'user': 'tutor'}
 {'is_revised': True, 'text': '15?', 'user': 'student'}
 {'is_revised': True, 'text': ""Correct! Any number less than 16 is your answer. Let's use the number line to draw our answer."", 'user': 'tutor'}]",provide_similar_problem,diagnose,train
elaborate_answer,2950026_44,"[{'id': 44, 'text': 'Try to figure it out.', 'time': '27:38', 'user': 'tutor'}
 {'id': 45, 'text': 'Are you working on that question', 'time': '29:27', 'user': 'tutor'}
 {'id': 46, 'text': '?', 'time': '29:29', 'user': 'tutor'}
 {'id': 47, 'text': 'yes', 'time': '29:59', 'user': 'student'}]","[{'is_revised': True, 'text': 'Can you show your first step on the whiteboard?', 'user': 'tutor'}]","[{'id': 48, 'text': 'Please recheck your answer.', 'time': '30:21', 'user': 'tutor'}
 {'id': 49, 'text': ""That's correct!"", 'time': '31:07', 'user': 'tutor'}
 {'id': 50, 'text': 'Option A is the answer.', 'time': '31:12', 'user': 'tutor'}
 {'id': 51, 'text': 'Do you want me to show the steps for you?', 'time': '31:25', 'user': 'tutor'}]",5.3B.Word Problems with Standard Measurement,"[{'is_revised': True, 'text': 'Can you show your first step on the whiteboard?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'ok done', 'user': 'student'}
 {'is_revised': True, 'text': ""Looks great, what's the next step/"", 'user': 'tutor'}]",ask_question,student stopped responding,train
clarify_misunderstanding,2927490_31,"[{'id': 31, 'text': 'First, we need to identify the given figure shape.', 'time': '07:51', 'user': 'tutor'}
 {'id': 32, 'text': 'ok', 'time': '08:03', 'user': 'student'}
 {'id': 33, 'text': 'Which shape is given in this question?', 'time': '08:06', 'user': 'tutor'}
 {'id': 34, 'text': 'squre', 'time': '08:50', 'user': 'student'}]","[{'is_revised': True, 'text': ""You're on the right track! A square has all four congruent sides. Are all the sides of this shape congruent?"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'no', 'user': 'tutor'}]","[{'id': 35, 'text': 'That was a good try.', 'time': '09:06', 'user': 'tutor'}
 {'id': 36, 'text': 'Go through the question once.', 'time': '09:23', 'user': 'tutor'}
 {'id': 37, 'text': 'In this question, given by the information is the rectangular garden.', 'time': '09:57', 'user': 'tutor'}]",4.5C.Perimeter,"[{'is_revised': True, 'text': ""You're on the right track! A square has all four congruent sides. Are all the sides of this shape congruent?"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'no', 'user': 'tutor'}
 {'is_revised': True, 'text': 'no', 'user': 'student'}
 {'is_revised': True, 'text': 'Correct! What type of shape has 2 sets of congruent sides?', 'user': 'tutor'}]",ask_question,right-idea,train
support_thinking,2979598_73,"[{'id': 73, 'text': 'Read the question carefully once.', 'time': '24:12', 'user': 'tutor'}
 {'id': 74, 'text': 'You have to rounding the number to the nearest hundred.', 'time': '24:41', 'user': 'tutor'}
 {'id': 75, 'text': 'Which number is in the hundreds place?', 'time': '24:49', 'user': 'tutor'}
 {'id': 76, 'text': '2671', 'time': '25:06', 'user': 'student'}]","[{'is_revised': True, 'text': ""Great try! Let's start with the lowest place value. What number is in the ones place?"", 'user': 'tutor'}]","[{'id': 77, 'text': 'That was a good try.', 'time': '25:19', 'user': 'tutor'}
 {'id': 78, 'text': 'You have to rounding to the nearest hundred.', 'time': '25:29', 'user': 'tutor'}
 {'id': 79, 'text': 'Which number is in the hundreds place?', 'time': '25:56', 'user': 'tutor'}
 {'id': 80, 'text': '5 is in the hundred place.', 'time': '26:08', 'user': 'tutor'}
 {'id': 81, 'text': ""That's correct."", 'time': '26:11', 'user': 'tutor'}
 {'id': 82, 'text': 'Which number is in the tens place?', 'time': '26:16', 'user': 'tutor'}]",3.4B.Rounding Whole Numbers (Review) - 1,"[{'is_revised': True, 'text': ""Great try! Let's start with the lowest place value. What number is in the ones place?"", 'user': 'tutor'}
 {'is_revised': True, 'text': '1', 'user': 'student'}
 {'is_revised': True, 'text': 'Great! What about tens place?', 'user': 'tutor'}
 {'is_revised': True, 'text': '7', 'user': 'student'}]",simplify_question,guess,train
support_thinking,4054193_63,"[{'id': 63, 'text': 'Go ahead and solve the question.', 'time': '36:28', 'user': 'tutor'}
 {'id': 64, 'text': 'What is the answer?', 'time': '37:45', 'user': 'tutor'}
 {'id': 65, 'text': 'Are you there?', 'time': '38:47', 'user': 'tutor'}
 {'id': 66, 'text': 'yes', 'time': '38:57', 'user': 'student'}]","[{'is_revised': True, 'text': 'Let me help you out a bit. We have 16 apples and 4 kids. We need to figure out how many apples each kid gets if we were to divide the apples evenly', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Does that help a bit?', 'user': 'tutor'}]","[{'id': 67, 'text': ""Which equation can be used to show that Jason's answer is incorrect?"", 'time': '39:54', 'user': 'tutor'}
 {'id': 68, 'text': 'It seems we are running out of time.', 'time': '41:07', 'user': 'tutor'}
 {'id': 69, 'text': 'Please be active in this session.', 'time': '42:19', 'user': 'tutor'}
 {'id': 70, 'text': 'Hope you had a good session today, and I thoroughly enjoyed working with you. Please fill in the whole feedback form before you leave. Thank you!', 'time': '44:10', 'user': 'tutor'}]",4.3E.Dividing Using Equations,"[{'is_revised': True, 'text': 'Let me help you out a bit. We have 16 apples and 4 kids. We need to figure out how many apples each kid gets if we were to divide the apples evenly', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Does that help a bit?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'yes', 'user': 'student'}
 {'is_revised': True, 'text': 'Ok, what should we do first?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Divide 16 by 4', 'user': 'student'}
 {'is_revised': True, 'text': 'Yes, well done!', 'user': 'tutor'}]",simplify_question,"Student did not make a mistake, but also does not seem to be answering",train
motivate_student,6142712_45,"[{'id': 45, 'text': 'yay', 'time': '09:55', 'user': 'student'}
 {'id': 46, 'text': 'Next, we have to find the value of 6 times 9 + 2.', 'time': '10:11', 'user': 'tutor'}
 {'id': 47, 'text': 'What is the value of 6 times 9 + 2?', 'time': '10:21', 'user': 'tutor'}
 {'id': 48, 'text': '99', 'time': '10:50', 'user': 'student'}]","[{'is_revised': True, 'text': 'Can you explain your steps that got you that answer?', 'user': 'tutor'}]","[{'id': 49, 'text': 'Very good try.', 'time': '11:04', 'user': 'tutor'}
 {'id': 50, 'text': 'Try to recheck your answer once again.', 'time': '11:12', 'user': 'tutor'}]",5.1A.Multiplying Whole Numbers,"[{'is_revised': True, 'text': 'Can you explain your steps that got you that answer?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'I guessed', 'user': 'student'}
 {'is_revised': True, 'text': ""This topic might be tough, but if you try, I can help figure out where you are misunderstanding. If you guess, it's tough for me to help you understand"", 'user': 'tutor'}]",ask_question,guess,train
motivate_student,6137290_63,"[{'id': 63, 'text': 'yes', 'time': '23:58', 'user': 'student'}
 {'id': 64, 'text': 'Good job!', 'time': '24:14', 'user': 'tutor'}
 {'id': 65, 'text': 'What is the answer?', 'time': '24:31', 'user': 'tutor'}
 {'id': 66, 'text': 'the right i faster the the left', 'time': '24:47', 'user': 'student'}]","[{'is_revised': True, 'text': ""Let's try again."", 'user': 'tutor'}]","[{'id': 67, 'text': 'Plus one point for your effort, but the answer is a bit off.', 'time': '25:43', 'user': 'tutor'}]",4.6A.Geometric Lines,"[{'is_revised': True, 'text': ""Let's try again."", 'user': 'tutor'}
 {'is_revised': True, 'text': ""okay. i'm not sure."", 'user': 'student'}
 {'is_revised': True, 'text': ""Let's review this problem again."", 'user': 'tutor'}]",encourage_student,diagnose,train
signal_goal,6383399_15,"[{'id': 15, 'text': '13,116', 'time': '09:42', 'user': 'student'}
 {'id': 16, 'text': 'Well tried but there is a mistake there.', 'time': '10:20', 'user': 'tutor'}
 {'id': 17, 'text': 'Do you understand your mistake now?', 'time': '11:13', 'user': 'tutor'}
 {'id': 18, 'text': 'yes', 'time': '11:26', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great, so what is the correct answer?', 'user': 'tutor'}]","[{'id': 19, 'text': 'Good. You have got +1 point for your effort.', 'time': '11:44', 'user': 'tutor'}
 {'id': 20, 'text': 'Start doing the next problem.', 'time': '12:15', 'user': 'tutor'}]",3.4A.Adding Multi-Digit Numbers,"[{'is_revised': True, 'text': 'Great, so what is the correct answer?', 'user': 'tutor'}
 {'is_revised': True, 'text': '13,120', 'user': 'student'}
 {'is_revised': True, 'text': 'Correct!', 'user': 'tutor'}]",encourage_student,careless,train
hint_mistake,2951077_27,"[{'id': 27, 'text': 'Let me explain it to you.', 'time': '11:13', 'user': 'tutor'}
 {'id': 28, 'text': 'Is the shape of the playground a square?', 'time': '11:52', 'user': 'tutor'}
 {'id': 29, 'text': 'Are you there working on that question?', 'time': '12:33', 'user': 'tutor'}
 {'id': 30, 'text': 'it could', 'time': '12:36', 'user': 'student'}]","[{'is_revised': True, 'text': 'Remember that for it to be a square, it must have 4 sides of equal length and 4 right angles', 'user': 'tutor'}]","[{'id': 31, 'text': 'That was a great effort.', 'time': '12:50', 'user': 'tutor'}
 {'id': 32, 'text': 'The shape of the playground is not a square.', 'time': '13:07', 'user': 'tutor'}
 {'id': 33, 'text': 'A square has 4 sides, but all the angles inside a square are right angles.', 'time': '13:37', 'user': 'tutor'}]",3.6B.Quadrilaterals,"[{'is_revised': True, 'text': 'Remember that for it to be a square, it must have 4 sides of equal length and 4 right angles', 'user': 'tutor'}
 {'is_revised': True, 'text': ""It has 4 sides, but not all the angles are the same so it's not a square?"", 'user': 'student'}
 {'is_revised': True, 'text': 'Correct!', 'user': 'tutor'}]",explain_concept,right-idea,train
understand_topic,4109111_15,"[{'id': 15, 'text': '3.4', 'time': '15:54', 'user': 'student'}
 {'id': 16, 'text': 'Give me a minute.', 'time': '17:20', 'user': 'tutor'}
 {'id': 17, 'text': 'What is the value of 3 divided by 4?', 'time': '21:18', 'user': 'tutor'}
 {'id': 18, 'text': '10', 'time': '22:09', 'user': 'student'}]","[{'is_revised': True, 'text': 'Good try! When you divide whole numbers, the number should get smaller because you are dividing it into groups. For example, 10 divided by 5 is 2 because you can make two groups of 5.', 'user': 'tutor'}]","[{'id': 19, 'text': 'Your answer is incorrect.', 'time': '22:38', 'user': 'tutor'}
 {'id': 20, 'text': 'The value of 3 divided by 4 is 0.75.', 'time': '22:57', 'user': 'tutor'}
 {'id': 21, 'text': 'What is the value of 5 divided by 6?', 'time': '25:02', 'user': 'tutor'}]",6.2D.Ordering Rational Numbers (Review) - 2,"[{'is_revised': True, 'text': 'Good try! When you divide whole numbers, the number should get smaller because you are dividing it into groups. For example, 10 divided by 5 is 2 because you can make two groups of 5.', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Ok, so the answer should be smaller than 3?', 'user': 'student'}
 {'is_revised': True, 'text': 'Yes, that is correct!', 'user': 'tutor'}]",explain_concept,guess,train
diagnose_mistake,4136413_98,"[{'id': 98, 'text': 'Did you know the answer?', 'time': '50:11', 'user': 'tutor'}
 {'id': 99, 'text': 'yes', 'time': '50:17', 'user': 'student'}
 {'id': 100, 'text': 'What is your final answer?', 'time': '50:48', 'user': 'tutor'}
 {'id': 101, 'text': '19.80', 'time': '50:55', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ah, no not quite. This question is asking us to select the greatest decimal number out of all the options. ', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Could you tell me why you picked 19.80 over 19.9?', 'user': 'tutor'}]","[{'id': 102, 'text': 'But it looks like your answer is incorrect.', 'time': '51:14', 'user': 'tutor'}
 {'id': 103, 'text': 'Plus 1 point for your great try.', 'time': '51:26', 'user': 'tutor'}]",5.2B.Comparing Decimal Numbers,"[{'is_revised': True, 'text': 'Ah, no not quite. This question is asking us to select the greatest decimal number out of all the options. ', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Could you tell me why you picked 19.80 over 19.9?', 'user': 'tutor'}
 {'is_revised': True, 'text': '80 is greater than 9', 'user': 'student'}
 {'is_revised': True, 'text': ""That's true, but remember we need to compare place values left to right. Notice how the value of 9 in the tenths place is greater than the value of 8 in the tenths place. Therefore 19.9 is greater than 19.80"", 'user': 'tutor'}]",ask_question,guess,train
elaborate_answer,2980373_13,"[{'id': 13, 'text': 'ok', 'time': '12:19', 'user': 'student'}
 {'id': 14, 'text': ""Let's get started."", 'time': '13:16', 'user': 'tutor'}
 {'id': 15, 'text': 'What do you know about Metric Conversions?', 'time': '14:17', 'user': 'tutor'}
 {'id': 16, 'text': '0.3', 'time': '15:17', 'user': 'student'}]","[{'is_revised': True, 'text': ""Great try - let's talk about how we can convert from kilograms to grams."", 'user': 'tutor'}]","[{'id': 17, 'text': 'That was a great effort.', 'time': '15:48', 'user': 'tutor'}
 {'id': 18, 'text': 'Please read the question carefully.', 'time': '16:02', 'user': 'tutor'}
 {'id': 19, 'text': 'We have to find the difference in the birth weights of the two tiger cups in grams.', 'time': '16:51', 'user': 'tutor'}
 {'id': 20, 'text': 'We have to convert the weight from kilogram to gram.', 'time': '17:35', 'user': 'tutor'}]",5.7A.Metric Conversions and Word Problems (Review) - 1,"[{'is_revised': True, 'text': ""Great try - let's talk about how we can convert from kilograms to grams."", 'user': 'tutor'}
 {'is_revised': True, 'text': 'x100', 'user': 'student'}
 {'is_revised': True, 'text': 'Great job!', 'user': 'tutor'}
 {'is_revised': True, 'text': 'You are very close. Kilo is the prefix for thousand. So we would multiply by 1000', 'user': 'tutor'}]",simplify_question,misinterpret,train
